trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",30,0,-160.48472185070895,"{0: 17, 1: 3, 2: 8, 3: 0, 4: 2}",0
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",30,0,-90.63709000363619,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",1
19,False,"{'a': 0.01, 'e': 0.9820042351172703}",20,0,-29.51788873177169,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.9800665778412416}",25,0,-172.3513319944726,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
21,False,"{'a': 0.01, 'e': 0.9780309147241483}",20,3,-142.63342475631006,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 3}",1
22,False,"{'a': 0.01, 'e': 0.9758974493306055}",20,0,-137.04364653722416,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.9736663950053749}",25,0,-100.95813103182276,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
24,False,"{'a': 0.01, 'e': 0.9713379748520297}",25,2,-78.9416517057561,"{0: 14, 1: 4, 2: 3, 3: 2, 4: 0}",1
25,False,"{'a': 0.01, 'e': 0.9689124217106447}",25,0,-64.04944055086993,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
26,False,"{'a': 0.01, 'e': 0.9663899781345132}",20,0,-111.11542376335403,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
27,False,"{'a': 0.01, 'e': 0.9637708963658905}",20,0,-197.51727947095998,"{0: 9, 1: 2, 2: 4, 3: 2, 4: 3}",0
28,False,"{'a': 0.01, 'e': 0.9610554383107709}",25,0,-141.7797477799206,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.9582438755126972}",20,0,-80.56009533658137,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
30,False,"{'a': 0.01, 'e': 0.955336489125606}",20,16,4.504876277412214,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.01, 'e': 0.9523335698857134}",25,3,-97.98138840113997,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 2}",1
32,False,"{'a': 0.01, 'e': 0.9492354180824408}",20,0,-26.540717230080887,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.946042343528387}",30,0,-203.7905408899195,"{0: 15, 1: 0, 2: 12, 3: 1, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",20,0,-53.386520140066274,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,6,-41.15464268623871,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",35,0,-174.69243165332747,"{0: 22, 1: 5, 2: 5, 3: 0, 4: 3}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",20,0,-113.71428027586062,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",35,0,-183.91287808033047,"{0: 19, 1: 6, 2: 6, 3: 2, 4: 2}",0
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",30,0,-74.15096703495009,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",25,0,-167.91497446014466,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-171.4129957146814,"{0: 7, 1: 4, 2: 6, 3: 1, 4: 2}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",20,0,-67.07226077044287,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",20,0,-204.64376536322663,"{0: 11, 1: 2, 2: 1, 3: 2, 4: 4}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199635}",25,0,-198.4081172298662,"{0: 11, 1: 6, 2: 4, 3: 1, 4: 3}",0
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",30,0,-72.57850125919944,"{0: 18, 1: 7, 2: 4, 3: 1, 4: 0}",0
46,False,"{'a': 0.01, 'e': 0.8960524975255253}",30,0,-218.85719749046666,"{0: 16, 1: 2, 2: 7, 3: 2, 4: 3}",0
47,False,"{'a': 0.01, 'e': 0.8915682881953289}",25,6,-116.75644200234257,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 3}",1
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",20,0,-105.05382812617518,"{0: 9, 1: 6, 2: 3, 3: 1, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101216}",30,0,-166.88818315371984,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",25,0,-113.6550184156195,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,12,-56.35077460820231,"{0: 4, 1: 2, 2: 1, 3: 0, 4: 1}",1
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-28.14625836513011,"{0: 12, 1: 7, 2: 1, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",25,0,-74.67997824733835,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",20,9,-36.04438905901063,"{0: 5, 1: 4, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",20,0,-72.84929856128745,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",20,0,-134.95064132180283,"{0: 13, 1: 3, 2: 1, 3: 0, 4: 3}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",20,0,-86.3773909606268,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,0,-52.682694813905215,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
59,False,"{'a': 0.01, 'e': 0.8309406791001634}",25,0,-155.63231182104954,"{0: 14, 1: 6, 2: 2, 3: 0, 4: 3}",0
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",20,0,-107.75421729664254,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",20,0,-66.09399790378183,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",20,0,-109.86175687013065,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",25,0,-92.94232326912747,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",25,0,-77.06158818479554,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",25,0,-99.5365721989416,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 0}",0
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",20,0,-141.22748696943583,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
